"DriveLetter","FileSystemLabel","Role","FileSystem","HealthStatus","SizeGB","FreeGB"
"L","Nuevo vol","Volumen de proyectos","NTFS","Healthy","232,88","64,81"
"C","M.2  W 10 sistema y plugins","Sistema y programas","NTFS","Healthy","476,09","57,01"
"D","2 TERAS MEC","Datos personales / archivo","NTFS","Healthy","1863,02","522,23"
"E","Nuevo vol","Volumen de trabajo secundario","NTFS","Healthy","288,08","153,41"
"G","1T. MECANICO DATOS","Datos mecÃ¡nicos / almacenamiento","NTFS","Healthy","643,42","635,22"
